rank,name,symbol,market_cap,price,circulating_supply,volume(24h),%1h,%24h,%7d,image_url
157,SafePal,SFP,"$268,309,123",$0.5366,"500,000,000 SFP *","$7,251,647",-0.08%,-0.54%,2.00%,https://s2.coinmarketcap.com/static/img/coins/32x32/8119.png
158,Theta Fuel,TFUEL,"$263,958,541",$0.03834,"6,883,170,454 TFUEL *","$3,776,928",0.25%,-0.98%,1.30%,https://s2.coinmarketcap.com/static/img/coins/32x32/3822.png
159,DeepBook Protocol,DEEP,"$261,369,271",$0.08815,"2,965,000,000 DEEP *","$14,250,776",0.90%,9.54%,-2.76%,https://s2.coinmarketcap.com/static/img/coins/32x32/33391.png
160,Blur,BLUR,"$259,829,678",$0.1150,"2,258,445,414 BLUR *","$62,263,409",-0.51%,6.24%,11.57%,https://s2.coinmarketcap.com/static/img/coins/32x32/23121.png
161,Notcoin,NOT,"$258,566,682",$0.002523,"102,456,957,534 NOT *","$67,777,745",-0.13%,-0.88%,4.02%,https://s2.coinmarketcap.com/static/img/coins/32x32/28850.png
162,SPACE ID,ID,"$255,042,618",$0.2576,"989,932,598 ID *","$16,981,947",-0.49%,-1.14%,4.96%,https://s2.coinmarketcap.com/static/img/coins/32x32/21846.png
163,Astar,ASTR,"$250,189,517",$0.03282,"7,621,599,004 ASTR *","$6,402,126",0.05%,0.58%,6.73%,https://s2.coinmarketcap.com/static/img/coins/32x32/12885.png
164,Zilliqa,ZIL,"$245,227,940",$0.01245,"19,685,017,064 ZIL","$10,904,630",0.14%,-0.48%,4.86%,https://s2.coinmarketcap.com/static/img/coins/32x32/2469.png
165,Nervos Network,CKB,"$244,007,104",$0.005284,"46,177,844,396 CKB","$52,892,855",0.08%,2.05%,10.02%,https://s2.coinmarketcap.com/static/img/coins/32x32/4948.png
166,Alchemy Pay,ACH,"$243,181,060",$0.02754,"8,828,530,657 ACH *","$93,205,446",-1.89%,1.86%,22.78%,https://s2.coinmarketcap.com/static/img/coins/32x32/6958.png
167,SuperVerse,SUPER,"$240,139,196",$0.4498,"533,826,887 SUPER *","$12,239,960",-0.70%,-1.25%,0.03%,https://s2.coinmarketcap.com/static/img/coins/32x32/8290.png
168,Polyhedra Network,ZKJ,"$234,110,632",$2.08,"112,502,999 ZKJ *","$3,141,439",-0.26%,0.67%,1.32%,https://s2.coinmarketcap.com/static/img/coins/32x32/29779.png
